event,location,latitude,longitude,event_type
"The Battle of Carpi , the first skirmish in the War of the Spanish Succession , takes place in Italy when French troops under the command of Nicolas Catinat are attacked by Austrian forces led by Prince Eugene of Savoy .","Carpi, Italy",44.6,10.6,war
"Crossing of the Düna : Following his victories over Denmark-Norway and Russia in 1700 , Charles XII of Sweden escalates the conflict in the Great Northern War by an invasion of Poland. The Swedish defeat the army of Saxony (then in personal union with Poland) at the River Dvina .",River Dvina,57.0,27.0,war
"A French emporium named Fort Ponchartrain is founded along the west side of the Detroit River in North America, and later becomes the site of the city of Detroit .","Detroit, United States",42.3,-83.0,purchase or sale of territory
"The Great Peace of Montreal is signed, ending 100 years of war between the Iroquois Confederacy and New France , and its Huron and Algonquian allies. Formerly allied with the English, the treaty assures the Iroquois will be neutral, if France and England ever resume hostilities.","Montreal, New France",45.5,-73.5,none
"Deposed King James II of England (James VII of Scotland) dies in exile, at the Château de Saint-Germain-en-Laye in France. His supporters, the Jacobites , turn to his son James Francis Edward Stuart (later called ""The Old Pretender""), whom they recognise as James VIII and III. Louis XIV of France , the Papal States and Spain also recognise him as the rightful heir.","Château de Saint-Germain-en-Laye, France",48.6,2.2,revolution or coup
"The Collegiate School of Connecticut (later renamed Yale University ) is chartered in Old Saybrook, Connecticut .","Old Saybrook, Connecticut",41.3,-72.4,none
"King Philip V of Spain marries for the first time, to 13-year-old Maria Luisa Gabriella of Savoy , who serves as Queen Consort until her death from tuberculosis at the age of 25.",Spain,40.4,-3.7,none
A total solar eclipse is visible from the southern Pacific Ocean .,Southern Pacific Ocean,,,none
"In North America, ships from Fort Maurepas arrive at Twenty-Seven Mile Bluff to build Fort Louis de la Mobile (future Mobile, Alabama ), to become the capital of French Louisiana .",North America,30.8,-88.0,purchase or sale of territory
"The Duc de Villeroy , commander of the French Army, is taken as a prisoner of war by the Austrian Army during the Battle of Cremona ( War of the Spanish Succession ).",Cremona,45.1,10.2,war
"An earthquake in the middle of the Calore valley in Italy, east of Benevento , kills 400 people.","Calore valley, Italy",40.8,14.4,cataclysm or fire
"Great Northern War : Battle of Darsūniškis – The Swedish army of about 240 men under the command of Alexander Hummerhielm is defeated by the Polish–Saxon army of 6,000 men under Michał Serwacy Wiśniowiecki .",Darsūniškis,56.0,24.0,war
"The Dutch East India Company ship Merestein strikes rocks and sinks in Saldanha Bay off Jutten Island, Africa with the loss of 101 of the 200 people on board.","Saldanha Bay, Jutten Island, Africa",33.5,18.2,cataclysm or fire
Volcanic eruption of Changbaishan volcano (also known as Paektu Mountain ) on the China/Korea border takes place.,"Changbaishan, China/Korea border",41.68,129.22,cataclysm or fire
"The British Province of New Jersey , encompassing all of the modern-day U.S. state of New Jersey and portions of New York , is created as proprietary owners in the provinces of East Jersey and West Jersey surrender their rights to the Crown.",New Jersey,40.0,-74.5,purchase or sale of territory
Comet C/1702 H1 is discovered and passes within 0.0435 AU (a little more than four million miles or 6.5 million km) of the Earth.,,,,none
The first two missionaries from the Society for the Propagation of the Gospel in Foreign Parts set sail from England to North America.,"England, North America",PARSE_ERROR,PARSE_ERROR,none
"Globular cluster Messier 5 (M5, NGC 5904) is discovered by Gottfried Kirch and his wife Maria Margarethe.",,,,none
Cloudesley Shovell is promoted to full admiral in the English navy.,England,54.0,-2.0,none
"Much of the city of Uppsala , Sweden is destroyed in a fire.","Uppsala, Sweden",59.8,17.7,cataclysm or fire
"Over 90% of the city of Bergen , Norway is destroyed and reduced to ashes in a Great Fire.","Bergen, Norway",60.4,5.3,cataclysm or fire
"English General John Churchill , later the Duke of Marlborough, takes command of the alliance of English, Dutch and German troops in the War of the Spanish Succession .",England,51.5,-0.1,war
Anglo-Dutch forces skirmish with French forces before the walls of Nijmegen and prevent its fall.,Nijmegen,51.8,6.0,war
"Queen Anne's Captain-General, John Churchill, forces the surrender of Kaiserswerth on the Rhine after a siege that began on April 18.","Kaiserswerth, Germany",50.8,7.1,war
The English East India Company founds a settlement on Pulo Condore (modern-day Côn Sơn Island) off the coast of southern Vietnam as an entrepôt for ships travelling between India and China.,"Pulo Condore (Côn Sơn Island), Vietnam",10.8,105.8,purchase or sale of territory
The premiere of the opera L'Offendere per amore overo la Telesilla by Johann Joseph Fux takes place in Vienna .,Vienna,48.2,16.4,none
"The first performance of the opera Médus, roi des Mèdes by François Bouvard takes place at the Paris Opera .","Paris, France",48.85,2.35,none
"Great Northern War : Częstochowa , Poland, is captured by the Swedish army.","Częstochowa, Poland",50.07,19.62,war
War of the Spanish Succession : Battle of Luzzara – Forces of the Holy Roman Empire fail to break through the French-Savoyard position in Lombardy.,"Luzzara, Lombardy",45.0,10.0,war
The Siege of Landau (War of the Spanish Succession) ends after 3 months with forces of the Holy Roman Empire capturing the fortress town in the Rhineland-Palatinate from a French garrison.,"Landau, Rhineland-Palatinate, Germany",49.2,7.6,war
Jupiter occults Neptune .,,,,none
General John Churchill forces the surrender of Venlo on the Meuse River .,"Venlo, Netherlands",51.4,5.7,war
War of the Spanish Succession : Battle of Cádiz – A month-long Anglo-Dutch amphibious operation under English Admiral Sir George Rooke fails to take the Spanish port.,Cádiz,36.5,-6.3,war
"The founding deed of the University of Wrocław is signed by the Holy Roman Emperor Leopold I of the House of Austria, King of Hungary and Bohemia.","Wrocław, Poland",51.11,17.03,none
"Great Northern War: Russian troops besiege the Swedish fortress of Nöteborg , and capture it after 15 days.","Nöteborg, Sweden",60.2,23.1,war
War of the Spanish Succession: Battle of Friedlingen – France defeats forces of the Holy Roman Empire .,Friedlingen,47.75,9.3667,war
"Queen Anne's War: Battle of Flint River – Spanish and Apalachee Indian forces fail in their attack against Creek Indians, supported by English traders, in the modern-day U.S. state of Georgia .","Georgia, United States",32.0,-84.0,war
The opera Der Sieg der fruchtbaren Pomona by Reinhard Keiser is premiered at the Hamburg Opera for the birthday of King Frederick IV of Denmark .,"Hamburg, Germany",53.55,9.92,none
War of the Spanish Succession: Battle of Vigo Bay – Anglo-Dutch naval forces under English Admiral Sir George Rooke capture the defended Spanish port of Cádiz and take or destroy all the Spanish treasure fleet and escorting French warships there. Churchill forces the surrender of Liège .,"Cádiz, Spain",36.5,-6.5,war
"Queen Anne's War in North America: English troops plunder St. Augustine , Spanish Florida .","St. Augustine, Spanish Florida",30.4,-81.2,war
"Sieur Juchereau, Lieutenant General of Montréal , establishes the first trading post on the Wabash River in order to trade buffalo hides with American Indians . The site of the trading post may be the modern-day location of Vincennes, Indiana .","Vincennes, Indiana",38.9,-87.0,purchase or sale of territory
The first performance of the opera Tancrède by André Campra takes place at the Théâtre du Palais-Royal in Paris.,"Paris, France",48.8584,2.3474,none
"Queen Anne's War in North America: The Siege of St. Augustine opens as English forces besiege St. Augustine , Spanish Florida .","St. Augustine, Spanish Florida",29.8,-81.3,war
The opera La Clemenza d'Augusto by Johann Joseph Fux is premiered in Vienna .,Vienna,48.2,16.4,none
The Dutch East India Company ship Amsterdam (1691) founders en route from Bombay to Basra during a storm with the loss of all hands.,,,,cataclysm or fire
John Churchill is created duke of Marlborough .,England,51.5,-0.5,dynasty change
Queen Anne's War : The Siege of St. Augustine in Spanish Florida is lifted.,"St. Augustine, Spanish Florida",30.4,-81.3,war
"The Jamaican town of Port Royal , a center of trade in the Western Hemisphere and at this time the largest city in the Caribbean , is destroyed by a fire. British ships in the harbor are able to rescue much of the merchandise that has been unloaded on the docks, but the inventory in market-places in town is destroyed.","Port Royal, Jamaica",18.0,-76.8,cataclysm or fire
"1703 Apennine earthquakes : The magnitude 6.7 Norcia earthquake affects Central Italy with a maximum Mercalli intensity of XI ( Extreme ). With a death toll of 6,240–9,761, it is the first in a sequence of three destructive events.",Central Italy,42.5,12.5,cataclysm or fire
"1703 Apennine earthquakes : The magnitude 6.2 Montereale earthquake causes damage at Accumoli, Armatrice, Cittareale and Montereale, with a maximum Mercalli intensity of VIII ( Severe ).",Italy,42.5,13.0,cataclysm or fire
"1703 Apennine earthquakes : The magnitude 6.7 L'Aquila earthquake affects Central Italy, with a maximum Mercalli intensity of X ( Extreme ). In the final large event (an example of Coulomb stress transfer ), damage occurs as far distant as Rome, with landslides, liquefaction, slope failures and at least 2,500 deaths.",Central Italy,42.5,12.5,cataclysm or fire
"March 10 – War of the Spanish Succession : Siege of Kehl – French forces under the command of the Duc de Villars capture the fortress of the Holy Roman Empire at Kehl , opposite Strasbourg on the Rhine .","Kehl, Germany",49.0,7.6,war
"The Recruiting Act 1703 goes into effect in England, providing for the forcible enlistment of able-bodied but unemployed men into the English Army and Royal Navy in order to fight in Queen Anne's War in North America . The Act expires at the end of February 1704.",England,54.0,-2.0,war
"The landmark English court case of Rose v Royal College of Physicians is decided by the Court of Queen's Bench , beginning the end of the monopoly that the Royal College of Physicians has over the practice of medicine.",England,51.5,-0.1,religious reform
"The Siege of Guadeloupe begins as an English expeditionary force, led by Christopher Codrington and Hovenden Walker , lands at Basse-Terre and attempts to take over the French-held island. The English fleet departs on May 15 after being unable to capture Guadeloupe.",Guadeloupe,16.3,-61.4,war
Jeanne Guyon is freed from the Bastille in Paris after more than seven years imprisonment for heresy.,"Paris, France",48.8584,2.2945,none
"The Company of Quenching of Fire (i.e., a fire brigade ) is founded in Edinburgh , Scotland.","Edinburgh, Scotland",55.9,-3.2,cataclysm or fire
Portugal joins the Grand Alliance .,Portugal,39.4,-8.2,none
Rákóczi's War of Independence : Hungarians rebel under Prince Francis II Rákóczi .,Hungary,47.5,21.0,revolution or coup
"Bavarian troops, who during the so-called Bavarian Rummel have invaded Tyrol , besiege Kufstein . Fires break out on the outskirts that engulf the town, destroy it and reach the powder store of the supposedly impregnable fortress . The enormous gunpowder supplies explode and Kufstein has to surrender on June 20 . This same day the Tyrolese surrender in Wörgl ; two days later Rattenberg is captured and Innsbruck is cleared without a fight on June 25 .","Kufstein, Tyrol",47.2,11.8,cataclysm or fire
"Battle of Ekeren (War of the Spanish Succession): The French surround a smaller Dutch force, which however breaks out and retires to safety.",Ekeren,51.2,4.6,war
"After their victories at the Pontlatzer Bridge and the Brenner Pass , Tyrolese farmers drive out the Bavarian Elector, Maximilian II Emanuel , from North Tyrol and thus prevent the Bavarian Army, which is allied with France, from marching on Vienna during the War of the Spanish Succession. This success, at low cost, is the signal for the rebellion of the Tyrolese against Bavaria, and Elector Maximilian II Emanuel has to flee from Innsbruck. The Bavarian Army withdraws through Seefeld in Tirol back to Bavaria.","North Tyrol, Austria",47.0,11.5,war
"31 – Daniel Defoe is placed in a pillory in London, then imprisoned until mid-November for the crime of seditious libel after publishing his satirical political pamphlet The Shortest Way with the Dissenters (1702).","London, United Kingdom",51.5,-0.1,none
Edirne event : Sultan Mustafa II of the Ottoman Empire is dethroned.,"Edirne, Turkey",41.0,26.1,revolution or coup
"War of the Spanish Succession : The town of Breisach is retaken for France by Camille d'Hostun, duc de Tallard .",Breisach,47.8,7.5,war
"War of the Spanish Succession : Habsburg Archduke Charles is proclaimed King of Spain, but never exercises full rule.",Spain,40.4,-3.7,war
"Nine Roman Catholic residents of the French village of Sainte-Cécile-d'Andorge are massacred by a mob of more than 800 French Huguenot Protestants, the Camisards . A reprisal against Protestants in the nearby village of Branoux is made less than three weeks later.","Sainte-Cécile-d'Andorge, France",44.6,4.2,revolution or coup
"Hannah Twynnoy , a 24-year-old barmaid in Malmesbury , Wiltshire , becomes the first person to be killed in Great Britain by a tiger . While working at the White Lion Inn, where a group of wild animals is on exhibit, she is mauled after bothering the tiger.","Malmesbury, Wiltshire, Great Britain",51.4,-1.9,cataclysm or fire
"More than 47 Huguenots in the village of Branoux-les-Taillades are massacred by Roman Catholic vigilantes in reprisal for the October 11 attack on nearby Sainte-Cécile, slightly more than two miles away.","Branoux-les-Taillades, France",44.2,4.6,terrorist act
"The so-called Man in the Iron Mask dies in the Bastille . He is buried under the name of ""Marchioly"".","Bastille, France",48.87,2.35,none
"Isaac Newton is elected president of the Royal Society of London, a position he will hold until his death in 1727 .","London, United Kingdom",51.5,-0.1,none
"10 (November 26–29 O.S. ) – The Great Storm of 1703 , an extratropical cyclone , ravages southern England and the English Channel , killing at least 8,000, mostly at sea. The Eddystone Lighthouse off Plymouth is destroyed in the storm together with its designer Henry Winstanley and many buildings on land are damaged.","Southern England, England",50.8,-1.5,cataclysm or fire
"Portugal and England sign the Methuen Treaty , which gives preference to Portuguese wines imported into England.","Portugal, England",PARSE_ERROR,PARSE_ERROR,purchase or sale of territory
Ahmed III succeeds the deposed Mustafa II as Ottoman Emperor .,Ottoman Empire,,,dynasty change
"Partial solar eclipse , Solar Saros 146 , is visible in Antarctica .",Antarctica,-60.0,-150.0,none
"26 – Apalachee massacre : English colonists from the Province of Carolina , and their native allies, stage a series of brutal raids against a largely pacific population of Apalachee , in Spanish Florida .",Spanish Florida,29.0,-84.0,war
Establishment of the first school open to African-Americans in New York City by Frenchman Elias Neau .,"New York City, United States",40.7,-74.0,none
"Raid on Deerfield ( Queen Anne's War ): French Canadians and Native Americans sack Deerfield, Massachusetts , killing over 50 English colonists.","Deerfield, Massachusetts",42.3,-72.6,war
"War of the Spanish Succession : Prince Karl of Habsburg , brother of Joseph I, the Holy Roman Emperor and a pretender to the throne of Spain , arrives in Portugal on the English warship HMS Royal Katherine as part of George Rooke 's English fleet sailing into Lisbon .",Portugal,39.4,-8.8,war
"War of the Spanish Succession : The English Navy ships HMS Kent , HMS Bedford and HMS Antelope intercept two newly-built Spanish warships, Porta Coeli and Santa Teresa off of the coast of Cape Spartel , as the Spaniards attempt to sail into the Strait of Gibraltar . The two Spanish ships are captured after a seven-hour battle and taken toward Lisbon , but the Santa Teresa sinks along the way.",Cape Spartel,36.1,-5.5,war
Battle of Biskupice : The Hungarians ( Kurucs ) win a costly victory over the Danes .,Biskupice,49.6,21.6,war
"The first regular newspaper in the Thirteen Colonies of British North America , The Boston News-Letter , is published.",Thirteen Colonies of British North America,,,none
"23 – Vigorous Strombolian activity from Mount Vesuvius , Italy is recorded.","Mount Vesuvius, Italy",40.8925,14.2667,cataclysm or fire
Battle of Smolenice : Kuruc rebels defeat the Austrian army and its allies.,Smolenice,48.5,19.6,war
Annular solar eclipse is visible from a region of the Southern Ocean between South Africa and Antarctica .,Southern Ocean,-40.0,-30.0,none
"Battle of Koroncó : Austrians and their allies from Denmark, Prussia , Croatia , Germany and Vojvodina defeat the Kurucs.","Koronció, Hungary",47.2,19.3,war
"Total lunar eclipse takes place, Saros series 125.",,,,none
"Great Northern War – King Charles XII of Sweden forces the election of his ally Stanisław Leszczyński as King of Poland , in place of Augustus II the Strong .",Poland,52.0,20.0,revolution or coup
Battle of Orford Ness .,Orford Ness,PARSE_ERROR,PARSE_ERROR,war
War of the Spanish Succession – The Twelfth Siege of Gibraltar by French and Spanish troops begins.,Gibraltar,36.8,-5.4,war
"War of the Spanish Succession : The siege of the French-held German town of Landau , by Holy Roman Empire troops under the command of Ludwig Wilhelm von Baden-Baden begins and lasts for more than ten weeks before the French surrender on November 23 . During the siege, the Holy Roman Emperor Joseph I visits the area in a newly-developed vehicle, a convertible horse-drawn carriage that has a removable roof. The style of vehicle itself is later called a "" landau "".","Landau, Germany",49.2,7.6,war
"Damat Hasan Pasha , Grand Vizier of the Ottoman Empire , is removed from office by Ottoman Sultan Ahmed III , and replaced by Kalaylikoz Ahmed Pasha.",Ottoman Empire,,,dynasty change
"A peace treaty is signed between Prince Ferenc Rákóczi of Transylvania , and representatives of the Holy Roman Emperor, Leopold I at Schemnitz (now the Slovakian town of Banská Štiavnica )","Schemnitz (Banská Štiavnica, Slovakia)",48.7,18.6,none
"Great Northern War : The Battle of Poniec takes place as King Charles XII leads Swedish troops in pursuit of the Saxon Army commanded by General Johann von der Schulenburg . The Swedes are forced to retreat despite surrounding the Saxons, and Schulenburg's troops escape.",Poniec,52.65,21.03,war
"Twelfth Siege of Gibraltar : A Spanish Bourbon special forces battalion, guided by Simon Susarte, scales the steepest side of the Rock of Gibraltar in an attempt to surprise the British defenders, and kills the English sentries who have been manning the lookout. The attack is foiled the next day when a drummer boy, who was bringing food to the sentries, spots the invaders and raises the alarm.",Gibraltar,36.8,-5.4,war
"The inauguration of the newly built Kastelskirken takes place in Copenhagen , Denmark .","Copenhagen, Denmark",55.7,12.5,none
"Annular solar eclipse is visible through Kazakhstan , Kyrgyzstan , eastern China , Myanmar and northern Philippines .","Kazakhstan, Kyrgyzstan, eastern China, Myanmar, northern Philippines",PARSE_ERROR,PARSE_ERROR,none
"Battle of Chamkaur : During the Mughal-Sikh Wars, an outnumbered Sikh Khalsa defeats a Mughal army.",Chamkaur,30.2,76.5,war
The fall of the meteorite of Barcelona is seen and heard over distances up to hundreds of kilometres and is interpreted as a divine sign.,"Barcelona, Spain",41.38,2.17,none
"George Frideric Handel 's first opera, Almira , is premiered in Hamburg.",Hamburg,53.55,9.92,none
"The Hester , a British 28-gun sailing ship with a crew of 70, is lost in Persia.",Persia,,,none
"Twelfth siege of Gibraltar : Marshal René de Froulay de Tessé of the French Army supplements the Spanish forces of the Marquis of Villadarias and seizes control of a strategic fortress, the Round Tower, but the forces retreat after a counterattack kills 200 of their number in the retaking of the Tower.",Gibraltar,36.1,-5.4,war
George Frideric Handel 's opera Nero premieres in Hamburg .,Hamburg,53.55,9.92,none
"Twelfth siege of Gibraltar: A French Navy fleet of 18 warships, commanded by Admiral Desjean, the Baron de Pointis arrives in the Bay of Gibraltar to aid the French and Spanish attempt to retake Gibraltar from England.",Gibraltar,36.1,-5.4,war
"The Province of Carolina incorporates the town of Bath , making it the first incorporated town in modern-day North Carolina . The town becomes the political center and de facto capital of the northern portion of the Province of Carolina until Edenton is incorporated in 1722 .","Bath, North Carolina",35.5,-76.3,none
"Queen Anne gives royal assent to the Parliament of England 's Alien Act 1705 , setting a deadline of December 25, 1705, for Scotland's parliament to authorize negotiations for a Treaty of Union with England to create the Kingdom of Great Britain and threatening that unless Scotland agrees to negotiate terms for union and accepts the Hanoverian succession by December 25, there would be a ban on the import of all Scottish staple products into England and Scots would also lose the privileges of Englishmen under English law – thus endangering rights to any property they held in England.",England,54.0,-2.0,none
"Anne, Queen of England dissolves the English House of Commons that had been elected in 1702, and orders new elections.",England,54.0,-2.0,dynasty change
"The Queen's Theatre is opened in London by John Vanbrugh and William Congreve , serving as an opera house , premiering with Gli amori di ergasto (""The Loves of Ergasto""), an Italian language opera by German composer Jakob ""Giacomo"" Greber . A theatre remains in operation on this site for more than 300 years, becoming Her Majesty's Theatre.","London, United Kingdom",51.5,-0.1,none
"Queen Anne of England honours Isaac Newton with the title of Knight Bachelor at Trinity College, Cambridge .","Cambridge, United Kingdom",52.2,0.1,none
Joseph I succeeds his father Leopold I as Holy Roman Emperor .,,,,dynasty change
1705 English general election : Voting begins for 110 constituencies of the 513-member House of Commons of England (including Wales ),England (including Wales),54.0,-2.0,none
"Voting ends in the English general election , with the Tories retaining their majority in the House of Commons but losing 38 seats, while the Whigs gain 49 seats. The balance in the 513 seats is 260 for the Tories, 233 for the Whigs, 20 for other candidates.",England,54.0,-2.0,none
The Pact of Genoa is signed by representatives of England and the Spanish Principality of Catalonia as a military alliance providing for English troops to be stationed in Catalonia as part of the War of Spanish Succession .,"Genoa, Italy",44.4167,7.9167,war
"José de Grimaldo , the Marquis of Grimaldo, becomes the head of government of Spain after being appointed by King Philip V as the Secretary of the Universal Bureau.",Spain,40.5,-3.7,dynasty change
"The newly-elected 2nd Parliament of Queen Anne in England, last to serve before the union with Scotland that produces Great Britain, is opened by the Queen.",England,54.0,-2.0,dynasty change
"Al-Husayn I ibn Ali becomes the first Bey of Tunis , founding the Husainid dynasty that rules Tunisia until the abolition of the monarchy in 1957 .","Tunis, Tunisia",36.8,10.2,dynasty change
"War of the Spanish Succession : The Battle of Elixheim is fought near the city of Tienen (in modern-day Belgium). A troop of soldiers under the command of England's Duke of Marlborough kills 3,000 French troops under the command of the Duc de Valleroy and forces the retreat of the others, breaking the ""Lines of Brabant"". Because his soldiers have marched all night and then fought the battle over a full day, Marlborough is unable to send them in pursuit of Villeroy's troops.","Tienen, Belgium",50.6833,5.35,war
"The planet Mercury transits Jupiter , as seen by astronomers from Earth. The event happens again on October 4, 1708 , but will not be seen again from Earth until October 27, 2088",,,,none
"Great Northern War : At the Battle of Gemauerthof , fought in modern-day Latvia , Swedish forces under the command of General Adam Ludwig Lewenhaupt overwhelm a much larger force of Russian troops commanded by Count Boris Sheremetev , killing 2,000 Russians and wounding as many as 3,000.",Latvia,56.9,24.1,war
"The Battle of Warsaw is fought near Warsaw, Poland, in the Great Northern War .","Warsaw, Poland",52.2297,21.0153,war
"18 – In an Atlantic tropical cyclone across Cuba and Florida, four ships are lost and there are many casualties.",Cuba and Florida,23.0,-82.0,cataclysm or fire
"September 5 – War of the Spanish Succession : The Siege of Zoutleeuw is carried out by the alliance of Dutch, English, Scottish and Holy Roman Empire troops against the French-held fortress of Zoutleeuw (in modern-day Belgium).","Zoutleeuw, Belgium",50.783,4.617,war
"First Javanese War of Succession : On the island of Java in the Dutch East Indies (modern-day Indonesia ), Pakubuwono I becomes the new Sultan of Martaram , capturing Kartosuro and deposing Sultan Amangkurat III .","Java, Dutch East Indies (modern-day Indonesia)",6.8,110.4,revolution or coup
"Francis II Rákóczi is proclaimed as the ruler of Hungary by independence activists in Szécsény who are opposed to the rule of the Habsburg successor to Leopold I, the Holy Roman emperor Joseph I.","Szécsény, Hungary",47.3,18.9,revolution or coup
The Dublin Gazette in Ireland publishes its first edition.,"Dublin, Ireland",53.3,-6.2,none
Battle of Zsibó : The Austrian - Danish forces defeat the Kurucs ( Hungarians ).,Zsibó,47.5,21.6,war
An annular solar eclipse is visible in the southern Atlantic Ocean .,Southern Atlantic Ocean,,,none
